1XHP 1YSV 1Z2J 1ZC5 28SR 2FDT 2JWV 2K66 2KOC 2L1V 2L3E 2LBJ 2LBL 2LDL 2LDT 2LHP 2LI4 2LK3 2LP9 2LPA 2LPS 2LQZ 2LU0 2LUB 2LUN 2LV0 2M12 2M21 2M22 2M24 2M4W 2M5U 2M8K 2MEQ 2MHI 2MNC 2MXL 2N2O 2N2P 2N4L 2N6S 2N6T 2N6W 2N6X 2NCI 2QH2 2QH4 2RVO 2Y95 4A4S 4A4T 4A4U 5A17 5A18 5IEM 5KH8 5KMZ 5KQE 5LSN 5LWJ 5N5C 5UF3 5UZT 5V16 5V17 5WQ1 6EZ0
4A4S 0.45 0.41 0.45 0.27 0.5 0.18 0.14 0.45 0.5 0.41 0.5 0.53 0.29 0.23 0.23 0.18 0.55 0.41 0.44 0.4 0.45 0.36 0.55 0.59 0.32 0.36 0.23 0.38 0.23 0.36 0.41 0.36 0.18 0.16 0.36 0.36 0.32 0.27 0.27 0.45 0.55 0.18 0.41 0.27 0.41 0.36 0.56 0.27 0.43 1 0.95 0.95 0.09 0.09 0.55 0.18 0.45 0.45 0.36 0.45 0.16 0.41 0.14 0.59 0.5 0.45 0.41
4A4T 0.5 0.41 0.41 0.27 0.5 0.45 0.14 0.45 0.29 0.41 0.45 0.59 0.29 0.23 0.23 0.18 0.59 0.23 0.38 0.47 0.41 0.41 0.59 0.59 0.32 0.36 0.23 0.33 0.23 0.41 0.41 0.41 0.18 0.16 0.36 0.36 0.32 0.27 0.32 0.5 0.55 0.18 0.45 0.27 0.45 0.41 0.44 0.27 0.29 0.95 1 0.95 0.36 0.36 0.68 0.41 0.41 0.45 0.32 0.5 0.16 0.41 0.14 0.64 0.64 0.5 0.59
4A4U 0.45 0.41 0.32 0.32 0.55 0.18 0.27 0.45 0.5 0.23 0.32 0.53 0.29 0.23 0.45 0.59 0.55 0.23 0.38 0.47 0.64 0.36 0.55 0.64 0.5 0.36 0.23 0.33 0.23 0.36 0.47 0.41 0.18 0.37 0.36 0.41 0.36 0.27 0.23 0.45 0.55 0.18 0.41 0.27 0.41 0.55 0.33 0.32 0.43 0.95 0.95 1 0.23 0.23 0.73 0.32 0.41 0.45 0.41 0.32 0.16 0.41 0.36 0.59 0.59 0.45 0.27
5A17 0.34 0.37 0.22 0.41 0.14 0.38 0.41 0.45 0.43 0.25 0.38 0.41 0.41 0.19 0.45 0.44 0.34 0.46 0.69 0.53 0.44 0.19 0.47 0.47 0.32 0.29 0.43 0.48 0.22 0.31 0.35 0.32 0.34 0.42 0.44 0.34 0.47 0.26 0.35 0.59 0.28 0.31 0.5 0.41 0.54 0.29 0.28 0.5 0.43 0.09 0.36 0.23 1 1 0.44 0.44 0.39 0.19 0.38 0.38 0.58 0.48 0.35 0.34 0.28 0.57 0.37
5A18 0.34 0.37 0.22 0.41 0.14 0.38 0.41 0.45 0.43 0.25 0.38 0.41 0.41 0.19 0.45 0.44 0.34 0.46 0.69 0.53 0.44 0.19 0.47 0.47 0.32 0.29 0.43 0.48 0.22 0.31 0.35 0.32 0.34 0.42 0.44 0.34 0.47 0.26 0.35 0.59 0.28 0.31 0.5 0.41 0.54 0.29 0.28 0.5 0.43 0.09 0.36 0.23 1 1 0.44 0.44 0.39 0.19 0.38 0.38 0.58 0.48 0.35 0.34 0.28 0.57 0.37
5IEM 0.22 0.15 0.4 0.49 0.25 0.22 0.41 0.5 0.57 0.14 0.46 0.47 0.53 0.52 0.26 0.38 0.41 0.5 0.56 0.47 0.5 0.22 0.55 0.35 0.46 0.5 0.35 0.62 0.48 0.48 0.47 0.55 0.44 0.47 0.38 0.45 0.51 0.39 0.61 0.13 0.56 0.5 0.46 0.14 0.46 0.42 0.5 0.44 0.57 0.55 0.68 0.73 0.44 0.44 1 0.49 0.48 0.19 0.48 0.47 0.42 0.43 0.32 0.37 0.37 0.43 0.48
5KH8 0.22 0.3 0.2 0.44 0.36 0.5 0.24 0.41 0.71 0.5 0.54 0.47 0.35 0.19 0.52 0.3 0.41 0.5 0.5 0.6 0.44 0.37 0.51 0.49 0.64 0.38 0.52 0.48 0.39 0.52 0.47 0.23 0.36 0.47 0.19 0.48 0.49 0.52 0.48 0.28 0.36 0.52 0.49 0.47 0.32 0.33 0.28 0.35 0.64 0.18 0.41 0.32 0.44 0.44 0.49 1 0.16 0.56 0.38 0.44 0.26 0.43 0.52 0.37 0.37 0.3 0.59
5KMZ 0.16 0.3 0.23 0.52 0.21 0.23 0.45 0.27 0.57 0.39 0.1 0.41 0.41 0.3 0.19 0.26 0.48 0.38 0.31 0.33 0.45 0.44 0.52 0.26 0.36 0.46 0.26 0.43 0.3 0.21 0.29 0.23 0.32 0.47 0.48 0.14 0.42 0.43 0.43 0.29 0.42 0.35 0.48 0.26 0.32 0.33 0.39 0.29 0.36 0.45 0.41 0.41 0.39 0.39 0.48 0.16 1 0.23 0.34 0.23 0.58 0.43 0.13 0.23 0.23 0.35 0.22
5KQE 0.22 0.3 0.39 0.28 0.43 0.5 0.31 0.5 0.29 0.47 0.51 0.53 0.35 0.37 0.23 0.61 0.31 0.5 0.5 0.53 0.26 0.74 0.67 0.47 0.64 0.42 0.57 0.38 0.43 0.45 0.29 0.32 0.42 0.42 0.33 0.52 0.19 0.43 0.52 0.5 0.44 0.5 0.53 0.69 0.71 0.5 0.39 0.41 0.5 0.45 0.45 0.45 0.19 0.19 0.19 0.56 0.23 1 0.34 0.29 0.42 0.65 0.48 0.53 0.56 0.48 0.44
5LSN 0.34 0.33 0.34 0.21 0.39 0.45 0.31 0.59 0.5 0.41 0.45 0.53 0.53 0.07 0.31 0.31 0.28 0.38 0.44 0.47 0.21 0.26 0.41 0.31 0.39 0.42 0.48 0.43 0.39 0.21 0.41 0.41 0.55 0.11 0.34 0.34 0.31 0.48 0.22 0.34 0.34 0.28 0.41 0.38 0.32 0.5 0.39 0.31 0.5 0.36 0.32 0.41 0.38 0.38 0.48 0.38 0.34 0.34 1 0.21 0.21 0.48 0.45 0.41 0.31 0.3 0.41
5LWJ 0.41 0.41 0.41 0.15 0.36 0.15 0.31 0.5 0.5 0.18 0.24 0.41 0.41 0.41 0.48 0.38 0.31 0.21 0.5 0.53 0.41 0.3 0.26 0.5 0.39 0.33 0.43 0.43 0.3 0.41 0.47 0.45 0.12 0.26 0.38 0.21 0.29 0.52 0.43 0.35 0.5 0.38 0.41 0.35 0.43 0.33 0.44 0.26 0.5 0.45 0.5 0.32 0.38 0.38 0.47 0.44 0.23 0.29 0.21 1 0.42 0.48 0.16 0.5 0.44 0.48 0.44
5N5C 0.53 0.42 0.47 0.47 0.47 0.53 0.53 0.26 0.21 0.58 0.16 0.18 0.18 0.58 0.26 0.53 0.37 0.42 0.25 0.27 0.42 0.47 0.47 0.47 0.21 0.42 0.21 0.16 0.42 0.26 0.24 0.37 0.32 0.47 0.21 0.16 0.47 0.42 0.42 0.53 0.47 0.53 0.47 0.37 0.53 0.26 0.28 0.42 0.21 0.16 0.16 0.16 0.58 0.58 0.42 0.26 0.58 0.42 0.21 0.42 1 0.37 0.21 0.37 0.37 0.42 0.21
5UF3 0.48 0.35 0.48 0.43 0.39 0.39 0.39 0.5 0.5 0.48 0.35 0.47 0.47 0.13 0.57 0.61 0.61 0.3 0.5 0.47 0.3 0.3 0.48 0.61 0.26 0.48 0.35 0.38 0.48 0.35 0.65 0.27 0.48 0.53 0.35 0.39 0.48 0.22 0.17 0.35 0.52 0.39 0.48 0.52 0.65 0.35 0.44 0.43 0.43 0.41 0.41 0.41 0.48 0.48 0.43 0.43 0.43 0.65 0.48 0.48 0.37 1 0.35 0.61 0.61 0.61 0.48
5UZT 0.23 0.37 0.19 0.19 0.36 0.42 0.38 0.59 0.36 0.42 0.45 0.41 0.47 0.15 0.35 0.29 0.29 0.42 0.25 0.27 0.35 0.37 0.39 0.29 0.54 0.46 0.48 0.29 0.22 0.34 0.47 0.55 0.45 0.26 0.35 0.86 0.29 0.52 0.52 0.45 0.29 0.45 0.42 0.52 0.39 0.38 0.44 0.61 0.36 0.14 0.14 0.36 0.35 0.35 0.32 0.52 0.13 0.48 0.45 0.16 0.21 0.35 1 0.45 0.45 0.22 0.37
5V16 0.41 0.56 0.37 0.22 0.32 0.36 0.24 0.41 0.57 0.33 0.17 0.53 0.41 0.44 0.35 0.51 0.56 0.25 0.44 0.4 0.41 0.33 0.34 0.54 0.46 0.29 0.48 0.52 0.52 0.52 0.47 0.32 0.15 0.42 0.22 0.45 0.36 0.52 0.57 0.34 0.36 0.41 0.49 0.44 0.43 0.54 0.44 0.41 0.5 0.59 0.64 0.59 0.34 0.34 0.37 0.37 0.23 0.53 0.41 0.5 0.37 0.61 0.45 1 0.93 0.52 0.48
5V17 0.41 0.26 0.39 0.22 0.25 0.36 0.24 0.23 0.57 0.33 0.17 0.53 0.41 0.44 0.39 0.49 0.5 0.29 0.44 0.4 0.41 0.33 0.32 0.54 0.25 0.25 0.26 0.52 0.52 0.21 0.41 0.27 0.34 0.42 0.46 0.45 0.36 0.13 0.52 0.15 0.36 0.44 0.46 0.37 0.29 0.62 0.44 0.38 0.5 0.5 0.64 0.59 0.28 0.28 0.37 0.37 0.23 0.56 0.31 0.44 0.37 0.61 0.45 0.93 1 0.52 0.44
5WQ1 0.39 0.43 0.43 0.39 0.22 0.22 0.43 0.36 0.43 0.35 0.43 0.47 0.71 0.39 0.22 0.48 0.39 0.39 0.56 0.53 0.3 0.35 0.39 0.52 0.3 0.26 0.35 0.38 0.43 0.3 0.47 0.55 0.22 0.42 0.48 0.48 0.43 0.26 0.35 0.39 0.35 0.52 0.52 0.57 0.61 0.35 0.39 0.13 0.43 0.45 0.5 0.45 0.57 0.57 0.43 0.3 0.35 0.48 0.3 0.48 0.42 0.61 0.22 0.52 0.52 1 0.39
6EZ0 0.37 0.26 0.37 0.3 0.22 0.44 0.41 0.5 0.5 0.37 0.3 0.18 0.47 0.41 0.56 0.44 0.67 0.42 0.5 0.47 0.41 0.33 0.52 0.37 0.44 0.5 0.43 0.48 0.48 0.41 0.53 0.36 0.3 0.63 0.33 0.44 0.33 0.22 0.39 0.3 0.48 0.41 0.41 0.33 0.41 0.42 0.5 0.37 0.5 0.41 0.59 0.27 0.37 0.37 0.48 0.59 0.22 0.44 0.41 0.44 0.21 0.48 0.37 0.48 0.44 0.39 1
